geoRegion,datum,entries,timeframe_all,sumTotal,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff,timeframe_2w,timeframe_4w,sum2w,sum4w,mean2w,mean4w,sumTotal_last2w,sumTotal_last4w,inzmean2w,inzmean4w,inzsumTotal_last2w,inzsumTotal_last4w,inzsum2w,inzsum4w,entries_letzter_stand,entries_neu_gemeldet,entries_diff_last_age,entries_diff_last
CH,202009,57,TRUE,57,1,100,8738791,0.65,0.65,COVID19Cases,,2023-11-28_06-00-38,isoweek,2020-09,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,0,7,3039
CH,202010,377,TRUE,434,1,100,8738791,4.31,4.97,COVID19Cases,,2023-11-28_06-00-38,isoweek,2020-10,320,3.66,561.4,0,FALSE,FALSE,434,NA,217,NA,NA,NA,2.48,NA,NA,NA,4.97,NA,377,0,7,3039
CH,202011,2265,TRUE,2699,1,100,8738791,25.92,30.89,COVID19Cases,,2023-11-28_06-00-38,isoweek,2020-11,1888,21.61,500.8,0,FALSE,FALSE,2642,NA,1321,NA,NA,NA,15.12,NA,NA,NA,30.23,NA,2265,0,7,3039
CH,202012,6558,TRUE,9257,1,100,8738791,75.04,105.93,COVID19Cases,,2023-11-28_06-00-38,isoweek,2020-12,4293,49.12,189.5,0,FALSE,FALSE,8823,9257,4411.5,2314.25,NA,NA,50.48,26.48,NA,NA,100.96,105.93,6558,0,7,3039
CH,202013,7345,TRUE,16602,1,100,8738791,84.05,189.98,COVID19Cases,,2023-11-28_06-00-38,isoweek,2020-13,787,9.01,12,0,FALSE,FALSE,13903,16545,6951.5,4136.25,NA,NA,79.55,47.33,NA,NA,159.1,189.33,7345,0,7,3039
CH,202014,6024,TRUE,22626,1,100,8738791,68.93,258.91,COVID19Cases,,2023-11-28_06-00-38,isoweek,2020-14,-1321,-15.12,-18,0,FALSE,FALSE,13369,22192,6684.5,5548,NA,NA,76.49,63.49,NA,NA,152.98,253.95,6024,0,7,3039
CH,202015,3600,TRUE,26226,1,100,8738791,41.2,300.11,COVID19Cases,,2023-11-28_06-00-38,isoweek,2020-15,-2424,-27.73,-40.2,0,FALSE,FALSE,9624,23527,4812,5881.75,NA,NA,55.06,67.31,NA,NA,110.13,269.22,3600,0,7,3039
CH,202016,1837,TRUE,28063,1,100,8738791,21.02,321.13,COVID19Cases,,2023-11-28_06-00-38,isoweek,2020-16,-1763,-20.18,-49,0,FALSE,FALSE,5437,18806,2718.5,4701.5,NA,NA,31.11,53.8,NA,NA,62.22,215.2,1837,0,7,3039
CH,202017,1167,TRUE,29230,1,100,8738791,13.35,334.49,COVID19Cases,,2023-11-28_06-00-38,isoweek,2020-17,-670,-7.67,-36.5,0,FALSE,FALSE,3004,12628,1502,3157,NA,NA,17.19,36.13,NA,NA,34.38,144.51,1167,0,7,3039
CH,202018,700,TRUE,29930,1,100,8738791,8.01,342.5,COVID19Cases,,2023-11-28_06-00-38,isoweek,2020-18,-467,-5.34,-40,0,FALSE,FALSE,1867,7304,933.5,1826,NA,NA,10.68,20.9,NA,NA,21.36,83.58,700,0,7,3039
CH,202019,400,TRUE,30330,1,100,8738791,4.58,347.07,COVID19Cases,,2023-11-28_06-00-38,isoweek,2020-19,-300,-3.43,-42.9,0,FALSE,FALSE,1100,4104,550,1026,NA,NA,6.29,11.74,NA,NA,12.59,46.96,400,0,7,3039
CH,202020,231,TRUE,30561,1,100,8738791,2.64,349.72,COVID19Cases,,2023-11-28_06-00-38,isoweek,2020-20,-169,-1.94,-42.2,0,FALSE,FALSE,631,2498,315.5,624.5,NA,NA,3.61,7.15,NA,NA,7.22,28.59,231,0,7,3039
CH,202021,153,TRUE,30714,1,100,8738791,1.75,351.47,COVID19Cases,,2023-11-28_06-00-38,isoweek,2020-21,-78,-0.89,-33.8,0,FALSE,FALSE,384,1484,192,371,NA,NA,2.2,4.25,NA,NA,4.39,16.98,153,0,7,3039
CH,202022,126,TRUE,30840,1,100,8738791,1.44,352.91,COVID19Cases,,2023-11-28_06-00-38,isoweek,2020-22,-27,-0.31,-17.6,0,FALSE,FALSE,279,910,139.5,227.5,NA,NA,1.6,2.6,NA,NA,3.19,10.41,126,0,7,3039
CH,202023,98,TRUE,30938,1,100,8738791,1.12,354.03,COVID19Cases,,2023-11-28_06-00-38,isoweek,2020-23,-28,-0.32,-22.2,0,FALSE,FALSE,224,608,112,152,NA,NA,1.28,1.74,NA,NA,2.56,6.96,98,0,7,3039
CH,202024,140,TRUE,31078,1,100,8738791,1.6,355.63,COVID19Cases,,2023-11-28_06-00-38,isoweek,2020-24,42,0.48,42.9,0,FALSE,FALSE,238,517,119,129.25,NA,NA,1.36,1.48,NA,NA,2.72,5.92,140,0,7,3039
CH,202025,171,TRUE,31249,1,100,8738791,1.96,357.59,COVID19Cases,,2023-11-28_06-00-38,isoweek,2020-25,31,0.36,22.1,0,FALSE,FALSE,311,535,155.5,133.75,NA,NA,1.78,1.53,NA,NA,3.56,6.12,171,0,7,3039
CH,202026,359,TRUE,31608,1,100,8738791,4.11,361.7,COVID19Cases,,2023-11-28_06-00-38,isoweek,2020-26,188,2.15,109.9,0,FALSE,FALSE,530,768,265,192,NA,NA,3.03,2.2,NA,NA,6.06,8.79,359,0,7,3039
CH,202027,682,TRUE,32290,1,100,8738791,7.8,369.5,COVID19Cases,,2023-11-28_06-00-38,isoweek,2020-27,323,3.69,90,0,FALSE,FALSE,1041,1352,520.5,338,NA,NA,5.96,3.87,NA,NA,11.91,15.47,682,0,7,3039
CH,202028,636,TRUE,32926,1,100,8738791,7.28,376.78,COVID19Cases,,2023-11-28_06-00-38,isoweek,2020-28,-46,-0.52,-6.7,0,FALSE,FALSE,1318,1848,659,462,NA,NA,7.54,5.29,NA,NA,15.08,21.15,636,0,7,3039
CH,202029,715,TRUE,33641,1,100,8738791,8.18,384.96,COVID19Cases,,2023-11-28_06-00-38,isoweek,2020-29,79,0.9,12.4,0,FALSE,FALSE,1351,2392,675.5,598,NA,NA,7.73,6.84,NA,NA,15.46,27.37,715,0,7,3039
CH,202030,824,TRUE,34465,1,100,8738791,9.43,394.39,COVID19Cases,,2023-11-28_06-00-38,isoweek,2020-30,109,1.25,15.2,0,FALSE,FALSE,1539,2857,769.5,714.25,NA,NA,8.81,8.17,NA,NA,17.61,32.69,824,0,7,3039
CH,202031,1155,TRUE,35620,1,100,8738791,13.22,407.61,COVID19Cases,,2023-11-28_06-00-38,isoweek,2020-31,331,3.79,40.2,0,FALSE,FALSE,1979,3330,989.5,832.5,NA,NA,11.32,9.53,NA,NA,22.65,38.11,1155,0,7,3039
CH,202032,1100,TRUE,36720,1,100,8738791,12.59,420.2,COVID19Cases,,2023-11-28_06-00-38,isoweek,2020-32,-55,-0.63,-4.8,0,FALSE,FALSE,2255,3794,1127.5,948.5,NA,NA,12.9,10.85,NA,NA,25.8,43.42,1100,0,7,3039
CH,202033,1574,TRUE,38294,1,100,8738791,18.01,438.21,COVID19Cases,,2023-11-28_06-00-38,isoweek,2020-33,474,5.42,43.1,0,FALSE,FALSE,2674,4653,1337,1163.25,NA,NA,15.3,13.31,NA,NA,30.6,53.25,1574,0,7,3039
CH,202034,1855,TRUE,40149,1,100,8738791,21.23,459.43,COVID19Cases,,2023-11-28_06-00-38,isoweek,2020-34,281,3.22,17.9,0,FALSE,FALSE,3429,5684,1714.5,1421,NA,NA,19.62,16.26,NA,NA,39.24,65.04,1855,0,7,3039
CH,202035,2092,TRUE,42241,1,100,8738791,23.94,483.37,COVID19Cases,,2023-11-28_06-00-38,isoweek,2020-35,237,2.71,12.8,0,FALSE,FALSE,3947,6621,1973.5,1655.25,NA,NA,22.58,18.94,NA,NA,45.17,75.77,2092,0,7,3039
CH,202036,2458,TRUE,44699,1,100,8738791,28.13,511.5,COVID19Cases,,2023-11-28_06-00-38,isoweek,2020-36,366,4.19,17.5,0,FALSE,FALSE,4550,7979,2275,1994.75,NA,NA,26.03,22.83,NA,NA,52.07,91.31,2458,0,7,3039
CH,202037,2860,TRUE,47559,1,100,8738791,32.73,544.23,COVID19Cases,,2023-11-28_06-00-38,isoweek,2020-37,402,4.6,16.4,0,FALSE,FALSE,5318,9265,2659,2316.25,NA,NA,30.43,26.51,NA,NA,60.86,106.02,2860,0,7,3039
CH,202038,2905,TRUE,50464,1,100,8738791,33.24,577.47,COVID19Cases,,2023-11-28_06-00-38,isoweek,2020-38,45,0.51,1.6,0,FALSE,FALSE,5765,10315,2882.5,2578.75,NA,NA,32.99,29.51,NA,NA,65.97,118.04,2905,0,7,3039
CH,202039,2221,TRUE,52685,1,100,8738791,25.42,602.89,COVID19Cases,,2023-11-28_06-00-38,isoweek,2020-39,-684,-7.82,-23.5,0,FALSE,FALSE,5126,10444,2563,2611,NA,NA,29.33,29.88,NA,NA,58.66,119.51,2221,0,7,3039
CH,202040,3461,TRUE,56146,1,100,8738791,39.61,642.49,COVID19Cases,,2023-11-28_06-00-38,isoweek,2020-40,1240,14.19,55.8,0,FALSE,FALSE,5682,11447,2841,2861.75,NA,NA,32.51,32.75,NA,NA,65.02,130.99,3461,0,7,3039
CH,202041,8753,TRUE,64899,1,100,8738791,100.16,742.65,COVID19Cases,,2023-11-28_06-00-38,isoweek,2020-41,5292,60.55,152.9,0,FALSE,FALSE,12214,17340,6107,4335,NA,NA,69.88,49.61,NA,NA,139.77,198.43,8753,0,7,3039
CH,202042,19481,TRUE,84380,1,100,8738791,222.93,965.58,COVID19Cases,,2023-11-28_06-00-38,isoweek,2020-42,10728,122.77,122.6,0,FALSE,FALSE,28234,33916,14117,8479,NA,NA,161.54,97.03,NA,NA,323.09,388.11,19481,0,7,3039
CH,202043,39678,TRUE,124058,1,100,8738791,454.04,1419.62,COVID19Cases,,2023-11-28_06-00-38,isoweek,2020-43,20197,231.11,103.7,0,FALSE,FALSE,59159,71373,29579.5,17843.25,NA,NA,338.49,204.18,NA,NA,676.97,816.74,39678,0,7,3039
CH,202044,55821,TRUE,179879,1,100,8738791,638.77,2058.4,COVID19Cases,,2023-11-28_06-00-38,isoweek,2020-44,16143,184.73,40.7,0,FALSE,FALSE,95499,123733,47749.5,30933.25,NA,NA,546.41,353.98,NA,NA,1092.82,1415.91,55821,0,7,3039
CH,202045,51194,TRUE,231073,1,100,8738791,585.82,2644.22,COVID19Cases,,2023-11-28_06-00-38,isoweek,2020-45,-4627,-52.95,-8.3,0,FALSE,FALSE,107015,166174,53507.5,41543.5,NA,NA,612.3,475.39,NA,NA,1224.6,1901.57,51194,0,7,3039
CH,202046,39590,TRUE,270663,1,100,8738791,453.04,3097.26,COVID19Cases,,2023-11-28_06-00-38,isoweek,2020-46,-11604,-132.78,-22.7,0,FALSE,FALSE,90784,186283,45392,46570.75,NA,NA,519.43,532.92,NA,NA,1038.86,2131.68,39590,0,7,3039
CH,202047,30112,TRUE,300775,1,100,8738791,344.58,3441.84,COVID19Cases,,2023-11-28_06-00-38,isoweek,2020-47,-9478,-108.46,-23.9,0,FALSE,FALSE,69702,176717,34851,44179.25,NA,NA,398.81,505.55,NA,NA,797.62,2022.21,30112,0,7,3039
CH,202048,26177,TRUE,326952,1,100,8738791,299.55,3741.39,COVID19Cases,,2023-11-28_06-00-38,isoweek,2020-48,-3935,-45.03,-13.1,0,FALSE,FALSE,56289,147073,28144.5,36768.25,NA,NA,322.06,420.75,NA,NA,644.13,1682.99,26177,0,7,3039
CH,202049,27276,TRUE,354228,1,100,8738791,312.13,4053.51,COVID19Cases,,2023-11-28_06-00-38,isoweek,2020-49,1099,12.58,4.2,0,FALSE,FALSE,53453,123155,26726.5,30788.75,NA,NA,305.84,352.32,NA,NA,611.68,1409.29,27276,0,7,3039
CH,202050,30000,TRUE,384228,1,100,8738791,343.3,4396.81,COVID19Cases,,2023-11-28_06-00-38,isoweek,2020-50,2724,31.17,10,0,FALSE,FALSE,57276,113565,28638,28391.25,NA,NA,327.71,324.89,NA,NA,655.42,1299.55,30000,0,7,3039
CH,202051,29258,TRUE,413486,1,100,8738791,334.81,4731.62,COVID19Cases,,2023-11-28_06-00-38,isoweek,2020-51,-742,-8.49,-2.5,0,FALSE,FALSE,59258,112711,29629,28177.75,NA,NA,339.05,322.44,NA,NA,678.1,1289.78,29258,0,7,3039
CH,202052,23946,TRUE,437432,1,100,8738791,274.02,5005.64,COVID19Cases,,2023-11-28_06-00-38,isoweek,2020-52,-5312,-60.79,-18.2,0,FALSE,FALSE,53204,110480,26602,27620,NA,NA,304.41,316.06,NA,NA,608.83,1264.25,23946,0,7,3039
CH,202053,23398,TRUE,460830,1,100,8738791,267.75,5273.38,COVID19Cases,,2023-11-28_06-00-38,isoweek,2020-53,-548,-6.27,-2.3,0,FALSE,FALSE,47344,106602,23672,26650.5,NA,NA,270.88,304.97,NA,NA,541.77,1219.87,23398,0,7,3039
CH,202101,22033,TRUE,482863,1,100,8738791,252.13,5525.51,COVID19Cases,,2023-11-28_06-00-38,isoweek,2021-01,-1365,-15.62,-5.8,0,FALSE,FALSE,45431,98635,22715.5,24658.75,NA,NA,259.94,282.18,NA,NA,519.88,1128.7,22033,0,7,3039
CH,202102,15197,TRUE,498060,1,100,8738791,173.9,5699.42,COVID19Cases,,2023-11-28_06-00-38,isoweek,2021-02,-6836,-78.23,-31,0,FALSE,FALSE,37230,84574,18615,21143.5,NA,NA,213.02,241.95,NA,NA,426.03,967.8,15197,0,7,3039
CH,202103,13485,TRUE,511545,1,100,8738791,154.31,5853.73,COVID19Cases,,2023-11-28_06-00-38,isoweek,2021-03,-1712,-19.59,-11.3,0,FALSE,FALSE,28682,74113,14341,18528.25,NA,NA,164.11,212.02,NA,NA,328.21,848.09,13485,0,7,3039
CH,202104,11516,TRUE,523061,1,100,8738791,131.78,5985.51,COVID19Cases,,2023-11-28_06-00-38,isoweek,2021-04,-1969,-22.53,-14.6,0,FALSE,FALSE,25001,62231,12500.5,15557.75,NA,NA,143.05,178.03,NA,NA,286.09,712.12,11516,0,7,3039
CH,202105,10057,TRUE,533118,1,100,8738791,115.08,6100.59,COVID19Cases,,2023-11-28_06-00-38,isoweek,2021-05,-1459,-16.7,-12.7,0,FALSE,FALSE,21573,50255,10786.5,12563.75,NA,NA,123.43,143.77,NA,NA,246.86,575.08,10057,0,7,3039
CH,202106,7864,TRUE,540982,1,100,8738791,89.99,6190.58,COVID19Cases,,2023-11-28_06-00-38,isoweek,2021-06,-2193,-25.09,-21.8,0,FALSE,FALSE,17921,42922,8960.5,10730.5,NA,NA,102.54,122.79,NA,NA,205.07,491.17,7864,0,7,3039
CH,202107,6979,TRUE,547961,1,100,8738791,79.86,6270.44,COVID19Cases,,2023-11-28_06-00-38,isoweek,2021-07,-885,-10.13,-11.3,0,FALSE,FALSE,14843,36416,7421.5,9104,NA,NA,84.93,104.18,NA,NA,169.85,416.72,6979,0,7,3039
CH,202108,7210,TRUE,555171,1,100,8738791,82.51,6352.95,COVID19Cases,,2023-11-28_06-00-38,isoweek,2021-08,231,2.65,3.3,0,FALSE,FALSE,14189,32110,7094.5,8027.5,NA,NA,81.18,91.86,NA,NA,162.37,367.44,7210,0,7,3039
CH,202109,7581,TRUE,562752,1,100,8738791,86.75,6439.7,COVID19Cases,,2023-11-28_06-00-38,isoweek,2021-09,371,4.24,5.1,0,FALSE,FALSE,14791,29634,7395.5,7408.5,NA,NA,84.63,84.78,NA,NA,169.26,339.11,7581,0,7,3039
CH,202110,8783,TRUE,571535,1,100,8738791,100.51,6540.21,COVID19Cases,,2023-11-28_06-00-38,isoweek,2021-10,1202,13.76,15.9,0,FALSE,FALSE,16364,30553,8182,7638.25,NA,NA,93.63,87.41,NA,NA,187.26,349.63,8783,0,7,3039
