date,total_deaths,daily_deaths
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,2,2
2020-03-06,2,0
2020-03-07,2,0
2020-03-08,3,1
2020-03-09,3,0
2020-03-10,5,2
2020-03-11,8,3
2020-03-12,12,4
2020-03-13,15,3
2020-03-14,20,5
2020-03-15,28,8
2020-03-16,35,7
2020-03-17,47,12
2020-03-18,55,8
2020-03-19,69,14
2020-03-20,90,21
2020-03-21,109,19
2020-03-22,127,18
2020-03-23,150,23
2020-03-24,169,19
2020-03-25,208,39
2020-03-26,246,38
2020-03-27,278,32
2020-03-28,335,57
2020-03-29,380,45
2020-03-30,438,58
2020-03-31,482,44
2020-04-01,541,59
2020-04-02,602,61
2020-04-03,659,57
2020-04-04,714,55
2020-04-05,765,51
2020-04-06,815,50
2020-04-07,872,57
2020-04-08,930,58
2020-04-09,975,45
2020-04-10,1027,52
2020-04-11,1072,45
2020-04-12,1108,36
2020-04-13,1144,36
2020-04-14,1181,37
2020-04-15,1219,38
2020-04-16,1257,38
2020-04-17,1294,37
2020-04-18,1328,34
2020-04-19,1350,22
2020-04-20,1388,38
2020-04-21,1421,33
2020-04-22,1448,27
2020-04-23,1479,31
2020-04-24,1506,27
2020-04-25,1531,25
2020-04-26,1544,13
2020-04-27,1567,23
2020-04-28,1579,12
2020-04-29,1590,11
2020-04-30,1605,15
2020-05-01,1617,12
2020-05-02,1626,9
2020-05-03,1634,8
2020-05-04,1643,9
2020-05-05,1653,10
2020-05-06,1657,4
2020-05-07,1669,12
2020-05-08,1676,7
2020-05-09,1681,5
2020-05-10,1688,7
2020-05-11,1691,3
2020-05-12,1692,1
2020-05-13,1693,1
2020-05-14,1695,2
2020-05-15,1700,5
2020-05-16,1701,1
2020-05-17,1706,5
2020-05-18,1709,3
2020-05-19,1713,4
2020-05-20,1713,0
2020-05-21,1718,5
2020-05-22,1719,1
2020-05-23,1720,1
2020-05-24,1720,0
2020-05-25,1722,2
2020-05-26,1724,2
2020-05-27,1724,0
2020-05-28,1724,0
2020-05-29,1724,0
2020-05-30,1724,0
2020-05-31,1724,0
2020-06-01,1724,0
2020-06-02,1724,0
2020-06-03,1724,0
2020-06-04,1724,0
2020-06-05,1724,0
2020-06-06,1725,1
2020-06-07,1725,0
2020-06-08,1726,1
2020-06-09,1726,0
2020-06-10,1727,1
2020-06-11,1727,0
2020-06-12,1728,1
2020-06-13,1729,1
2020-06-14,1729,0
2020-06-15,1729,0
2020-06-16,1730,1
2020-06-17,1730,0
2020-06-18,1730,0
2020-06-19,1730,0
2020-06-20,1730,0
2020-06-21,1731,1
2020-06-22,1732,1
2020-06-23,1732,0
2020-06-24,1732,0
2020-06-25,1732,0
2020-06-26,1732,0
